metric,var,Chisq,timely_broken(Coef),long_passed(Coef),long_broken(Coef),timely_broken(Std.Er),long_passed(Std.Er),long_broken(Std.Er),timely_broken(p-value),long_passed(p-value),long_broken(p-value),timely_broken(signif),long_passed(signif),long_broken(signif)
(Intercept),(Intercept),-,-0.606316635,-0.3072353,0.578722135,0.002482859,0.002616314,0.002451738,< 2.2e-16,< 2.2e-16,< 2.2e-16,***,***,***
author_experience_days,author_experience_days,19672.85673,3.60E-05,-2.10E-06,4.30E-05,3.99E-06,3.25E-06,2.69E-06,< 2.2e-16,0.518533364,< 2.2e-16,***,,***
git_diff_test_churn,git_diff_test_churn,9486.762585,0.001158865,0.000371449,0.000510806,3.53E-05,4.04E-05,3.27E-05,< 2.2e-16,< 2.2e-16,< 2.2e-16,***,***,***
installation_lines,installation_lines,9243.29991,0.048204701,0.09057207,0.062850507,0.00153588,0.001189326,0.001086722,< 2.2e-16,< 2.2e-16,< 2.2e-16,***,***,***
scripting_lines,scripting_lines,5852.341225,0.042611666,0.042245227,0.040715136,0.00115766,0.000935096,0.000862002,< 2.2e-16,< 2.2e-16,< 2.2e-16,***,***,***
retry,retry,5423.262143,0.413430326,0.629451357,0.403952745,0.003456417,0.002931344,0.002781969,< 2.2e-16,< 2.2e-16,< 2.2e-16,***,***,***
travis_wait,travis_wait,2980.283743,-0.018224171,-0.001450529,0.002543187,0.001389225,0.000551864,0.000374041,< 2.2e-16,0.008578287,1.05E-11,***,**,***
sudo,sudo1,2482.968265,-0.150688621,0.13778746,0.609313592,0.001368398,0.002679082,0.003217557,< 2.2e-16,< 2.2e-16,< 2.2e-16,***,***,***
gh_diff_files_modified,gh_diff_files_modified,2286.786372,0.000464132,-0.003084232,-0.001004879,0.000140609,0.000206381,0.000122907,0.000963836,< 2.2e-16,2.22E-16,***,***,***
oses,oseslinux+osx,1451.493691,1.562176594,2.324759843,1.619460732,9.86E-05,0.000204522,0.00015534,< 2.2e-16,< 2.2e-16,< 2.2e-16,***,***,***
oses,oseslinux+osx+windows,1451.493691,0.793589903,-0.868893084,-1.734250809,3.70E-07,2.32E-07,1.83E-07,< 2.2e-16,< 2.2e-16,< 2.2e-16,***,***,***
oses,oseslinux+windows,1451.493691,2.66592042,-8.147858999,-13.58066248,1.99E-06,1.75E-09,1.58E-11,< 2.2e-16,< 2.2e-16,< 2.2e-16,***,***,***
oses,osesosx,1451.493691,-2.156794598,-5.232340096,-0.566182709,1.48E-06,2.19E-07,1.11E-05,< 2.2e-16,< 2.2e-16,< 2.2e-16,***,***,***
after_scripting_lines,after_scripting_lines,1253.393159,0.016119688,0.001199023,0.066544731,0.004705084,0.003677011,0.003017936,0.000612507,0.744359107,< 2.2e-16,***,,***
total_three_months_ago,total_three_months_ago,752.9672459,-0.000137595,-5.92E-05,-2.38E-05,1.10E-05,4.15E-06,2.40E-06,< 2.2e-16,< 2.2e-16,< 2.2e-16,***,***,***
config_files_modified,config_files_modified,691.3426465,0.006643941,-0.00197446,0.012583193,0.00135865,0.00143291,0.000956383,1.01E-06,0.168222525,< 2.2e-16,***,,***
fast_finish,fast_finish1,177.0992759,0.078377724,0.213511162,0.55501266,0.000875686,0.003428185,0.005163876,< 2.2e-16,< 2.2e-16,< 2.2e-16,***,***,***
open_prs_ratio_three_months_ago,open_prs_ratio_three_months_ago,102.2443605,0.835524327,-4.055681579,-3.36210136,7.15E-06,6.43E-06,6.64E-06,< 2.2e-16,< 2.2e-16,< 2.2e-16,***,***,***