,,Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,=========,Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif
gh_diff_other_files,gh_diff_other_files,-0.000661282,0.000362163,-1.825924209,0.067861679,3.334,0.05,.,,-0.000544401,0.000163835,-3.322854493,0.000891014,11.041,0.24,***,,0.000349097,0.000299505,1.165579738,0.243784404,1.359,0.06, ,,-0.000130969,0.000230608,-0.567928474,0.570083536,0.323,0, ,,0.001075195,0.000220494,4.876302989,1.08E-06,23.778,0.59,***,,-0.001182977,0.000279023,-4.239715228,2.24E-05,17.975,0.74,***,,0.000661282,0.000362163,-1.825924209,0.067861679,3.334,0.05,.,,0.000544401,0.000163835,-3.322854493,0.000891014,11.041,0.24,***,,-0.000349097,0.000299505,1.165579738,0.243784404,1.359,0.06, ,,0.000130969,0.000230608,-0.567928474,0.570083536,0.323,0, ,,-0.001075195,0.000220494,4.876302989,1.08E-06,23.778,0.59,***,,0.001182977,0.000279023,-4.239715228,2.24E-05,17.975,0.74,***
gh_is_pr,gh_is_pr1,-0.328381748,0.020483452,-16.03156248,7.69E-58,257.011,4.02,***,,-0.068627012,0.010561005,-6.498151664,8.13E-11,42.226,0.93,***,,0.269595664,0.019266343,13.99308995,1.72E-44,195.807,8.22,***,,-0.01926329,0.01299922,-1.481880483,0.138372099,2.196,0.03, ,,0.441632632,0.015757031,28.02765432,7.48E-173,785.549,19.5,***,,-0.422904986,0.017090863,-24.74450754,3.55E-135,612.291,25.19,***,,0.328381748,0.020483452,-16.03156248,7.69E-58,257.011,4.02,***,,0.068627012,0.010561005,-6.498151664,8.13E-11,42.226,0.93,***,,-0.269595664,0.019266343,13.99308995,1.72E-44,195.807,8.22,***,,0.01926329,0.01299922,-1.481880483,0.138372099,2.196,0.03, ,,-0.441632632,0.015757031,28.02765432,7.48E-173,785.549,19.5,***,,0.422904986,0.017090863,-24.74450754,3.55E-135,612.291,25.19,***
gh_num_commits_on_files_touched,gh_num_commits_on_files_touched,-9.07E-06,3.00E-06,-3.021113889,0.002518466,9.127,0.14,**,,-8.66E-06,1.76E-06,-4.923866073,8.49E-07,24.244,0.54,***,,-1.57E-05,4.10E-06,-3.82335531,0.000131648,14.618,0.61,***,,1.21E-05,2.34E-06,5.151419633,2.59E-07,26.537,0.34,***,,-1.10E-05,3.93E-06,-2.806468065,0.005008788,7.876,0.2,**,,1.48E-05,4.53E-06,3.273234411,0.001063243,10.714,0.44,**,,9.07E-06,3.00E-06,-3.021113889,0.002518466,9.127,0.14,**,,8.66E-06,1.76E-06,-4.923866073,8.49E-07,24.244,0.54,***,,1.57E-05,4.10E-06,-3.82335531,0.000131648,14.618,0.61,***,,-1.21E-05,2.34E-06,5.151419633,2.59E-07,26.537,0.34,***,,1.10E-05,3.93E-06,-2.806468065,0.005008788,7.876,0.2,**,,-1.48E-05,4.53E-06,3.273234411,0.001063243,10.714,0.44,**
git_diff_src_churn,git_diff_src_churn,-2.84E-05,1.09E-05,-2.599878389,0.00932568,6.759,0.11,**,,-3.09E-05,5.52E-06,-5.595509353,2.20E-08,31.31,0.69,***,,-3.83E-07,3.57E-06,-0.107370961,0.914494691,0.012,0, ,,9.22E-06,7.21E-06,1.277364108,0.20147373,1.632,0.02, ,,5.42E-05,7.33E-06,7.397231387,1.39E-13,54.719,1.36,***,,-4.66E-05,9.11E-06,-5.111950205,3.19E-07,26.132,1.07,***,,2.84E-05,1.09E-05,-2.599878389,0.00932568,6.759,0.11,**,,3.09E-05,5.52E-06,-5.595509353,2.20E-08,31.31,0.69,***,,3.83E-07,3.57E-06,-0.107370961,0.914494691,0.012,0, ,,-9.22E-06,7.21E-06,1.277364108,0.20147373,1.632,0.02, ,,-5.42E-05,7.33E-06,7.397231387,1.39E-13,54.719,1.36,***,,4.66E-05,9.11E-06,-5.111950205,3.19E-07,26.132,1.07,***
git_diff_test_churn,git_diff_test_churn,-5.80E-05,4.00E-05,-1.449637623,0.147159599,2.101,0.03, ,,2.00E-05,1.19E-05,1.677157119,0.093511762,2.813,0.06,.,,6.84E-05,2.11E-05,3.24326403,0.001181686,10.519,0.44,**,,4.02E-05,1.70E-05,2.367664162,0.017900777,5.606,0.07,*,,-3.54E-05,1.73E-05,-2.044580891,0.040896195,4.18,0.1,*,,-4.01E-05,3.00E-05,-1.334475978,0.182047914,1.781,0.07, ,,5.80E-05,4.00E-05,-1.449637623,0.147159599,2.101,0.03, ,,-2.00E-05,1.19E-05,1.677157119,0.093511762,2.813,0.06,.,,-6.84E-05,2.11E-05,3.24326403,0.001181686,10.519,0.44,**,,-4.02E-05,1.70E-05,2.367664162,0.017900777,5.606,0.07,*,,3.54E-05,1.73E-05,-2.044580891,0.040896195,4.18,0.1,*,,4.01E-05,3.00E-05,-1.334475978,0.182047914,1.781,0.07, 
git_num_all_built_commits,git_num_all_built_commits,-0.006867451,0.001997079,-3.438748282,0.00058441,11.825,0.18,***,,0.002438063,0.000569514,4.280956912,1.86E-05,18.327,0.4,***,,-0.001113566,0.000582967,-1.91017084,0.05611122,3.649,0.15,.,,-0.003491536,0.00093313,-3.741746706,0.000182746,14.001,0.18,***,,-0.001098754,0.000519199,-2.116248697,0.034323662,4.479,0.11,*,,-0.020735297,0.00252437,-8.214049698,2.14E-16,67.471,2.78,***,,0.006867451,0.001997079,-3.438748282,0.00058441,11.825,0.18,***,,-0.002438063,0.000569514,4.280956912,1.86E-05,18.327,0.4,***,,0.001113566,0.000582967,-1.91017084,0.05611122,3.649,0.15,.,,0.003491536,0.00093313,-3.741746706,0.000182746,14.001,0.18,***,,0.001098754,0.000519199,-2.116248697,0.034323662,4.479,0.11,*,,0.020735297,0.00252437,-8.214049698,2.14E-16,67.471,2.78,***
installation_lines,installation_lines,-0.097624751,0.004491068,-21.73753545,9.06E-105,472.52,7.39,***,,-0.0021337,0.00145607,-1.465382806,0.142816506,2.147,0.05, ,,-0.033710277,0.003249101,-10.37526317,3.21E-25,107.646,4.52,***,,-0.091335084,0.002998653,-30.45869916,9.19E-204,927.732,11.86,***,,-0.023697478,0.002860617,-8.284043974,1.19E-16,68.625,1.7,***,,-0.020282746,0.004196826,-4.832877629,1.35E-06,23.357,0.96,***,,0.097624751,0.004491068,-21.73753545,9.06E-105,472.52,7.39,***,,0.0021337,0.00145607,-1.465382806,0.142816506,2.147,0.05, ,,0.033710277,0.003249101,-10.37526317,3.21E-25,107.646,4.52,***,,0.091335084,0.002998653,-30.45869916,9.19E-204,927.732,11.86,***,,0.023697478,0.002860617,-8.284043974,1.19E-16,68.625,1.7,***,,0.020282746,0.004196826,-4.832877629,1.35E-06,23.357,0.96,***
issues_ratio_three_months_ago,issues_ratio_three_months_ago,0.397607307,0.096181057,4.133946093,3.57E-05,17.09,0.27,***,,-0.064616573,0.052072642,-1.240892916,0.21464531,1.54,0.03, ,,0.623880607,0.082829249,7.532129269,4.99E-14,56.733,2.38,***,,0.367780327,0.063264737,5.813354249,6.12E-09,33.795,0.43,***,,0.566489806,0.068008948,8.329636361,8.11E-17,69.383,1.72,***,,0.10579335,0.077401748,1.366808276,0.171685408,1.868,0.08, ,,-0.397607307,0.096181057,4.133946093,3.57E-05,17.09,0.27,***,,0.064616573,0.052072642,-1.240892916,0.21464531,1.54,0.03, ,,-0.623880607,0.082829249,7.532129269,4.99E-14,56.733,2.38,***,,-0.367780327,0.063264737,5.813354249,6.12E-09,33.795,0.43,***,,-0.566489806,0.068008948,8.329636361,8.11E-17,69.383,1.72,***,,-0.10579335,0.077401748,1.366808276,0.171685408,1.868,0.08, 
jobs_delta,jobs_delta,-0.036291928,0.006535613,-5.552949274,2.81E-08,30.835,0.48,***,,-0.024817428,0.001799485,-13.79140743,2.87E-43,190.203,4.2,***,,-0.023082178,0.005513531,-4.186460183,2.83E-05,17.526,0.74,***,,-0.015422555,0.004667112,-3.304517673,0.0009514,10.92,0.14,***,,-0.013861097,0.004642944,-2.985411335,0.002831972,8.913,0.22,**,,-0.000760886,0.005885922,-0.129272136,0.897142319,0.017,0, ,,0.036291928,0.006535613,-5.552949274,2.81E-08,30.835,0.48,***,,0.024817428,0.001799485,-13.79140743,2.87E-43,190.203,4.2,***,,0.023082178,0.005513531,-4.186460183,2.83E-05,17.526,0.74,***,,0.015422555,0.004667112,-3.304517673,0.0009514,10.92,0.14,***,,0.013861097,0.004642944,-2.985411335,0.002831972,8.913,0.22,**,,0.000760886,0.005885922,-0.129272136,0.897142319,0.017,0, 
merged_prs_ratio_three_months_ago,merged_prs_ratio_three_months_ago,-0.433195368,0.083942489,-5.160620945,2.46E-07,26.632,0.42,***,,-0.10770525,0.041005755,-2.626588658,0.008624552,6.899,0.15,**,,-0.518301857,0.077676912,-6.67253426,2.51E-11,44.523,1.87,***,,-0.611794161,0.054850108,-11.15392806,6.85E-29,124.41,1.59,***,,-0.965503064,0.070460106,-13.70283292,9.76E-43,187.768,4.66,***,,0.313135262,0.073887266,4.238013891,2.26E-05,17.961,0.74,***,,0.433195368,0.083942489,-5.160620945,2.46E-07,26.632,0.42,***,,0.10770525,0.041005755,-2.626588658,0.008624552,6.899,0.15,**,,0.518301857,0.077676912,-6.67253426,2.51E-11,44.523,1.87,***,,0.611794161,0.054850108,-11.15392806,6.85E-29,124.41,1.59,***,,0.965503064,0.070460106,-13.70283292,9.76E-43,187.768,4.66,***,,-0.313135262,0.073887266,4.238013891,2.26E-05,17.961,0.74,***
num_jobs_added,num_jobs_added,-0.056602092,0.005724071,-9.888433493,4.67E-23,97.781,1.53,***,,-0.022858542,0.001737492,-13.15605859,1.57E-39,173.082,3.82,***,,0.000337237,0.00438051,0.076985763,0.938634871,0.006,0, ,,-0.035433937,0.004467266,-7.931906913,2.16E-15,62.915,0.8,***,,0.020799773,0.003796441,5.478755279,4.28E-08,30.017,0.75,***,,-0.03979977,0.006054537,-6.573545052,4.91E-11,43.211,1.78,***,,0.056602092,0.005724071,-9.888433493,4.67E-23,97.781,1.53,***,,0.022858542,0.001737492,-13.15605859,1.57E-39,173.082,3.82,***,,-0.000337237,0.00438051,0.076985763,0.938634871,0.006,0, ,,0.035433937,0.004467266,-7.931906913,2.16E-15,62.915,0.8,***,,-0.020799773,0.003796441,5.478755279,4.28E-08,30.017,0.75,***,,0.03979977,0.006054537,-6.573545052,4.91E-11,43.211,1.78,***
open_prs_ratio_three_months_ago,open_prs_ratio_three_months_ago,-2.756932479,0.56160465,-4.909027156,9.15E-07,24.099,0.38,***,,-1.379955876,0.320976355,-4.299244642,1.71E-05,18.484,0.41,***,,-0.535600151,0.512442861,-1.045189995,0.295935167,1.092,0.05, ,,-1.853203468,0.416870995,-4.445508295,8.77E-06,19.763,0.25,***,,0.208644128,0.485686965,0.429585603,0.667497112,0.185,0, ,,-0.695394842,0.511478152,-1.359578781,0.173963257,1.848,0.08, ,,2.756932479,0.56160465,-4.909027156,9.15E-07,24.099,0.38,***,,1.379955876,0.320976355,-4.299244642,1.71E-05,18.484,0.41,***,,0.535600151,0.512442861,-1.045189995,0.295935167,1.092,0.05, ,,1.853203468,0.416870995,-4.445508295,8.77E-06,19.763,0.25,***,,-0.208644128,0.485686965,0.429585603,0.667497112,0.185,0, ,,0.695394842,0.511478152,-1.359578781,0.173963257,1.848,0.08, 
oses,oseslinux+osx,-1.528701328,0.085165769,-17.94971557,4.82E-72,450.971,7.05,***,,-0.982598439,0.028922082,-33.9739873,5.40E-253,1209.23,26.7,***,,-1.156273585,0.076588592,-15.09720378,1.69E-51,248.244,10.42,***,,-1.287337979,0.075332446,-17.0887586,1.80E-65,432.179,5.52,***,,-0.747229667,0.075655652,-9.876719737,5.25E-23,188.403,4.68,***,,-0.092721899,0.103259806,-0.897947634,0.369213468,74.62,3.07,***,,1.528701328,0.085165769,-17.94971557,4.82E-72,450.971,7.05,***,,0.982598439,0.028922082,-33.9739873,5.40E-253,1209.23,26.7,***,,1.156273585,0.076588592,-15.09720378,1.69E-51,248.244,10.42,***,,1.287337979,0.075332446,-17.0887586,1.80E-65,432.179,5.52,***,,0.747229667,0.075655652,-9.876719737,5.25E-23,188.403,4.68,***,,0.092721899,0.103259806,-0.897947634,0.369213468,74.62,3.07,***
oses,oseslinux+osx+windows,10.99641298,392.7621591,0.027997639,0.977664035,450.971,7.05,***,,9.541048851,119.4710179,0.079860781,0.936347982,1209.23,26.7,***,,9.004315955,139.2682482,0.064654478,0.948449108,248.244,10.42,***,,-1.543587307,1.260708396,-1.224380921,0.220808563,432.179,5.52,***,,-1.293589208,1.363860883,-0.948475921,0.342887225,188.403,4.68,***,,-0.0741848,0.861823756,-0.086078852,0.931403735,74.62,3.07,***,,-10.99641298,392.7621591,0.027997639,0.977664035,450.971,7.05,***,,-9.541048851,119.4710179,0.079860781,0.936347982,1209.23,26.7,***,,-9.004315955,139.2682482,0.064654478,0.948449108,248.244,10.42,***,,1.543587307,1.260708396,-1.224380921,0.220808563,432.179,5.52,***,,1.293589208,1.363860883,-0.948475921,0.342887225,188.403,4.68,***,,0.0741848,0.861823756,-0.086078852,0.931403735,74.62,3.07,***
oses,oseslinux+windows,0.796521239,0.678907141,1.173240331,0.240699443,450.971,7.05,***,,-1.448066749,0.705959181,-2.051204642,0.040247022,1209.23,26.7,***,,2.007158271,0.705490351,2.84505418,0.004440387,248.244,10.42,***,,2.468652373,0.328641124,7.51169648,5.84E-14,432.179,5.52,***,,3.559003581,0.383320867,9.284659113,1.62E-20,188.403,4.68,***,,-1.053706432,0.29565496,-3.563973462,0.000365283,74.62,3.07,***,,-0.796521239,0.678907141,1.173240331,0.240699443,450.971,7.05,***,,1.448066749,0.705959181,-2.051204642,0.040247022,1209.23,26.7,***,,-2.007158271,0.705490351,2.84505418,0.004440387,248.244,10.42,***,,-2.468652373,0.328641124,7.51169648,5.84E-14,432.179,5.52,***,,-3.559003581,0.383320867,9.284659113,1.62E-20,188.403,4.68,***,,1.053706432,0.29565496,-3.563973462,0.000365283,74.62,3.07,***
oses,osesosx,-3.738192477,0.328064836,-11.3946759,4.44E-30,450.971,7.05,***,,-1.494529698,0.208493189,-7.168242292,7.60E-13,1209.23,26.7,***,,-1.07398051,0.306554043,-3.503396988,0.000459364,248.244,10.42,***,,-1.620003839,0.177857079,-9.108458586,8.36E-20,432.179,5.52,***,,0.396400681,0.202483976,1.957689145,0.0502665,188.403,4.68,***,,-2.466906466,0.315543505,-7.817959903,5.37E-15,74.62,3.07,***,,3.738192477,0.328064836,-11.3946759,4.44E-30,450.971,7.05,***,,1.494529698,0.208493189,-7.168242292,7.60E-13,1209.23,26.7,***,,1.07398051,0.306554043,-3.503396988,0.000459364,248.244,10.42,***,,1.620003839,0.177857079,-9.108458586,8.36E-20,432.179,5.52,***,,-0.396400681,0.202483976,1.957689145,0.0502665,188.403,4.68,***,,2.466906466,0.315543505,-7.817959903,5.37E-15,74.62,3.07,***
retry,retry,-0.16650717,0.019567825,-8.509232209,1.75E-17,72.407,1.13,***,,-0.091696282,0.00579565,-15.82157078,2.21E-56,250.322,5.53,***,,-0.168488131,0.015067054,-11.18255331,4.96E-29,125.049,5.25,***,,-0.129358029,0.016539537,-7.821139538,5.23E-15,61.17,0.78,***,,-0.018593883,0.013778312,-1.349503669,0.177175243,1.821,0.05, ,,-0.090675843,0.02502996,-3.622692341,0.000291553,13.124,0.54,***,,0.16650717,0.019567825,-8.509232209,1.75E-17,72.407,1.13,***,,0.091696282,0.00579565,-15.82157078,2.21E-56,250.322,5.53,***,,0.168488131,0.015067054,-11.18255331,4.96E-29,125.049,5.25,***,,0.129358029,0.016539537,-7.821139538,5.23E-15,61.17,0.78,***,,0.018593883,0.013778312,-1.349503669,0.177175243,1.821,0.05, ,,0.090675843,0.02502996,-3.622692341,0.000291553,13.124,0.54,***
reviews_ratio_three_months_ago,reviews_ratio_three_months_ago,-0.724136327,0.107296554,-6.74892433,1.49E-11,45.548,0.71,***,,-0.174241068,0.050494555,-3.450690213,0.000559155,11.907,0.26,***,,-0.804431205,0.107233138,-7.501703449,6.30E-14,56.276,2.36,***,,-1.01131115,0.071510243,-14.14218588,2.09E-45,200.001,2.56,***,,-1.126061491,0.09354083,-12.03818154,2.24E-33,144.918,3.6,***,,0.469567981,0.096573985,4.862261595,1.16E-06,23.642,0.97,***,,0.724136327,0.107296554,-6.74892433,1.49E-11,45.548,0.71,***,,0.174241068,0.050494555,-3.450690213,0.000559155,11.907,0.26,***,,0.804431205,0.107233138,-7.501703449,6.30E-14,56.276,2.36,***,,1.01131115,0.071510243,-14.14218588,2.09E-45,200.001,2.56,***,,1.126061491,0.09354083,-12.03818154,2.24E-33,144.918,3.6,***,,-0.469567981,0.096573985,4.862261595,1.16E-06,23.642,0.97,***
scripting_lines,scripting_lines,-0.083634105,0.002885563,-28.98364002,1.06E-184,840.051,13.14,***,,-0.012334083,0.001088801,-11.32813531,9.52E-30,128.327,2.83,***,,-0.041669121,0.002860384,-14.56766648,4.51E-48,212.217,8.91,***,,-0.037425121,0.001824057,-20.51752044,1.50E-93,420.969,5.38,***,,-0.01764999,0.002280308,-7.740177105,9.93E-15,59.91,1.49,***,,-0.027970321,0.003129774,-8.936849532,4.00E-19,79.867,3.29,***,,0.083634105,0.002885563,-28.98364002,1.06E-184,840.051,13.14,***,,0.012334083,0.001088801,-11.32813531,9.52E-30,128.327,2.83,***,,0.041669121,0.002860384,-14.56766648,4.51E-48,212.217,8.91,***,,0.037425121,0.001824057,-20.51752044,1.50E-93,420.969,5.38,***,,0.01764999,0.002280308,-7.740177105,9.93E-15,59.91,1.49,***,,0.027970321,0.003129774,-8.936849532,4.00E-19,79.867,3.29,***
sudo,sudo1,-0.408941192,0.043072563,-9.494238621,2.22E-21,90.141,1.41,***,,0.141156289,0.015781548,8.944387852,3.74E-19,80.002,1.77,***,,0.117927121,0.035419451,3.329445232,0.000870192,11.085,0.47,***,,-0.301633554,0.028451891,-10.60152912,2.93E-26,112.392,1.44,***,,-0.244678101,0.02837523,-8.622946733,6.53E-18,74.355,1.85,***,,-0.209790385,0.040825577,-5.138699771,2.77E-07,26.406,1.09,***,,0.408941192,0.043072563,-9.494238621,2.22E-21,90.141,1.41,***,,-0.141156289,0.015781548,8.944387852,3.74E-19,80.002,1.77,***,,-0.117927121,0.035419451,3.329445232,0.000870192,11.085,0.47,***,,0.301633554,0.028451891,-10.60152912,2.93E-26,112.392,1.44,***,,0.244678101,0.02837523,-8.622946733,6.53E-18,74.355,1.85,***,,0.209790385,0.040825577,-5.138699771,2.77E-07,26.406,1.09,***
total_three_months_ago,total_three_months_ago,-0.000354398,2.22E-05,-15.9599754,2.43E-57,254.721,3.98,***,,-7.28E-06,1.32E-06,-5.497839078,3.84E-08,30.226,0.67,***,,-6.05E-06,2.61E-06,-2.32309924,0.020173822,5.397,0.23,*,,-0.000266169,1.50E-05,-17.71449303,3.24E-70,313.803,4.01,***,,3.60E-07,2.88E-06,0.124813582,0.900671134,0.016,0, ,,-1.86E-05,6.55E-06,-2.835951675,0.004568936,8.043,0.33,**,,0.000354398,2.22E-05,-15.9599754,2.43E-57,254.721,3.98,***,,7.28E-06,1.32E-06,-5.497839078,3.84E-08,30.226,0.67,***,,6.05E-06,2.61E-06,-2.32309924,0.020173822,5.397,0.23,*,,0.000266169,1.50E-05,-17.71449303,3.24E-70,313.803,4.01,***,,-3.60E-07,2.88E-06,0.124813582,0.900671134,0.016,0, ,,1.86E-05,6.55E-06,-2.835951675,0.004568936,8.043,0.33,**
travis_wait,travis_wait,-0.023155859,0.00182943,-12.65741929,1.02E-36,160.21,2.51,***,,-0.004734279,0.000596897,-7.931490218,2.17E-15,62.909,1.39,***,,-0.004606837,0.001794719,-2.566884394,0.010261682,6.589,0.28,*,,-0.013619533,0.001335554,-10.19766547,2.03E-24,103.992,1.33,***,,0.004486028,0.001361261,3.295494039,0.000982488,10.86,0.27,***,,-0.016848663,0.001946627,-8.655313438,4.92E-18,74.914,3.08,***,,0.023155859,0.00182943,-12.65741929,1.02E-36,160.21,2.51,***,,0.004734279,0.000596897,-7.931490218,2.17E-15,62.909,1.39,***,,0.004606837,0.001794719,-2.566884394,0.010261682,6.589,0.28,*,,0.013619533,0.001335554,-10.19766547,2.03E-24,103.992,1.33,***,,-0.004486028,0.001361261,3.295494039,0.000982488,10.86,0.27,***,,0.016848663,0.001946627,-8.655313438,4.92E-18,74.914,3.08,***
unmerged_prs_ratio_three_months_ago,unmerged_prs_ratio_three_months_ago,0.129317918,0.201449361,0.641937592,0.520913705,0.412,0.01, ,,-0.102538136,0.103723279,-0.988573995,0.322871615,0.977,0.02, ,,-0.379737715,0.193660684,-1.960840516,0.04989763,3.845,0.16,*,,0.177316039,0.126630572,1.400262478,0.161434733,1.961,0.03, ,,0.229437939,0.159608065,1.437508426,0.15057358,2.066,0.05, ,,0.017504147,0.170228729,0.102827219,0.918100102,0.011,0, ,,-0.129317918,0.201449361,0.641937592,0.520913705,0.412,0.01, ,,0.102538136,0.103723279,-0.988573995,0.322871615,0.977,0.02, ,,0.379737715,0.193660684,-1.960840516,0.04989763,3.845,0.16,*,,-0.177316039,0.126630572,1.400262478,0.161434733,1.961,0.03, ,,-0.229437939,0.159608065,1.437508426,0.15057358,2.066,0.05, ,,-0.017504147,0.170228729,0.102827219,0.918100102,0.011,0, 
weekday_weekend,weekday_weekendweekend,0.262351103,0.017903436,14.6536733,1.28E-48,214.73,3.36,***,,0.043518204,0.010200287,4.266370559,1.99E-05,18.202,0.4,***,,0.184382619,0.017672922,10.43305787,1.75E-25,108.849,4.57,***,,0.25994656,0.011262476,23.08076488,7.22E-118,532.722,6.81,***,,0.192829709,0.014450369,13.34427616,1.28E-40,178.07,4.42,***,,0.017898026,0.01472344,1.215614373,0.224131856,1.478,0.06, ,,-0.262351103,0.017903436,14.6536733,1.28E-48,214.73,3.36,***,,-0.043518204,0.010200287,4.266370559,1.99E-05,18.202,0.4,***,,-0.184382619,0.017672922,10.43305787,1.75E-25,108.849,4.57,***,,-0.25994656,0.011262476,23.08076488,7.22E-118,532.722,6.81,***,,-0.192829709,0.014450369,13.34427616,1.28E-40,178.07,4.42,***,,-0.017898026,0.01472344,1.215614373,0.224131856,1.478,0.06, 